"layer_from","node_from","layer_to","node_to","weight"
2,17,2,89,0.021978021978022
2,17,2,99,0.032967032967033
2,17,2,111,0.032967032967033
2,17,2,128,0.032967032967033
2,17,2,153,0.010989010989011
2,17,2,168,0.010989010989011
2,17,2,170,0.032967032967033
2,17,2,225,0.010989010989011
2,17,2,234,0.010989010989011
2,17,2,236,0.010989010989011
2,17,2,242,0.043956043956044
2,17,2,284,0.021978021978022
2,22,2,77,0.333333333333333
2,22,2,91,0.333333333333333
2,22,2,105,0.333333333333333
2,26,2,55,0.230769230769231
2,26,2,77,0.0384615384615385
2,26,2,81,0.0384615384615385
2,26,2,131,0.0769230769230769
2,26,2,168,0.153846153846154
2,26,2,242,0.0384615384615385
2,26,2,274,0.0384615384615385
2,32,2,91,0.666666666666667
2,32,2,101,0.166666666666667
3,8,3,60,0.00826446280991736
3,8,3,92,0.28099173553719
3,8,3,101,0.00826446280991736
3,8,3,111,0.0661157024793388
3,8,3,115,0.00826446280991736
3,8,3,123,0.00826446280991736
3,8,3,165,0.00826446280991736
3,8,3,170,0.00826446280991736
3,8,3,187,0.0247933884297521
3,8,3,199,0.00826446280991736
3,8,3,235,0.00826446280991736
3,8,3,246,0.00826446280991736
3,8,3,274,0.00826446280991736
3,9,3,50,0.0290909090909091
3,9,3,60,0.00363636363636364
3,9,3,73,0.00363636363636364
3,9,3,76,0.00363636363636364
3,9,3,92,0.130909090909091
3,9,3,111,0.0254545454545455
3,9,3,163,0.00363636363636364
3,9,3,165,0.00727272727272727
3,9,3,187,0.0181818181818182
3,9,3,199,0.00363636363636364
3,9,3,235,0.00363636363636364
3,9,3,246,0.00363636363636364
3,9,3,274,0.287272727272727
3,11,3,50,0.0404040404040404
3,11,3,52,0.0707070707070707
3,11,3,55,0.0101010101010101
3,11,3,76,0.0404040404040404
3,11,3,85,0.0101010101010101
3,11,3,92,0.141414141414141
3,11,3,111,0.0101010101010101
3,11,3,115,0.0202020202020202
3,11,3,136,0.0101010101010101
3,11,3,139,0.0303030303030303
3,11,3,149,0.0101010101010101
3,11,3,151,0.0101010101010101
3,11,3,159,0.0404040404040404
3,11,3,165,0.0202020202020202
3,11,3,170,0.0303030303030303
3,11,3,179,0.0101010101010101
3,11,3,187,0.0303030303030303
3,11,3,199,0.0505050505050505
3,11,3,239,0.0101010101010101
3,12,3,76,0.027027027027027
3,12,3,163,0.162162162162162
3,12,3,275,0.432432432432432
3,16,3,92,0.2
3,16,3,268,0.4
3,16,3,275,0.4
3,17,3,73,0.0731707317073171
3,17,3,76,0.121951219512195
3,17,3,217,0.024390243902439
3,17,3,268,0.0487804878048781
3,17,3,275,0.024390243902439
3,26,3,44,0.0909090909090909
3,26,3,55,0.121212121212121
3,26,3,56,0.0303030303030303
3,26,3,60,0.0303030303030303
3,26,3,92,0.0303030303030303
3,26,3,139,0.0303030303030303
3,26,3,163,0.0303030303030303
3,26,3,165,0.0909090909090909
3,34,3,76,0.0833333333333333
3,34,3,92,0.0833333333333333
3,34,3,115,0.0833333333333333
3,34,3,163,0.0833333333333333
3,34,3,199,0.0277777777777778
3,35,3,50,0.0172413793103448
3,35,3,92,0.206896551724138
3,35,3,174,0.0172413793103448
3,35,3,187,0.0344827586206897
3,35,3,199,0.0172413793103448
3,38,3,76,0.142857142857143
3,38,3,95,0.0714285714285714
3,38,3,274,0.642857142857143
3,38,3,275,0.0714285714285714
3,38,3,276,0.0714285714285714
3,8,3,70,0.00826446280991736
3,8,3,92,0.512396694214876
3,8,3,187,0.0165289256198347
3,8,3,199,0.00826446280991736
3,9,3,50,0.0109090909090909
3,9,3,53,0.00363636363636364
3,9,3,60,0.00363636363636364
3,9,3,76,0.00363636363636364
3,9,3,92,0.156363636363636
3,9,3,106,0.0109090909090909
3,9,3,111,0.00363636363636364
3,9,3,163,0.00363636363636364
3,9,3,199,0.0181818181818182
3,9,3,251,0.00363636363636364
3,9,3,274,0.254545454545455
3,9,3,276,0.00363636363636364
3,11,3,41,0.0101010101010101
3,11,3,50,0.0404040404040404
3,11,3,92,0.282828282828283
3,11,3,159,0.0404040404040404
3,11,3,165,0.0101010101010101
3,11,3,235,0.0101010101010101
3,11,3,239,0.0101010101010101
3,12,3,52,0.027027027027027
3,12,3,76,0.0540540540540541
3,12,3,92,0.027027027027027
3,12,3,163,0.027027027027027
3,12,3,275,0.243243243243243
3,17,3,42,0.024390243902439
3,17,3,50,0.24390243902439
3,17,3,60,0.024390243902439
3,17,3,76,0.0975609756097561
3,17,3,130,0.024390243902439
3,17,3,165,0.0975609756097561
3,17,3,203,0.0487804878048781
3,17,3,215,0.0731707317073171
3,17,3,282,0.024390243902439
3,17,3,284,0.0487804878048781
3,19,3,55,1
3,25,3,202,1
3,26,3,44,0.0303030303030303
3,26,3,55,0.272727272727273
3,26,3,92,0.0303030303030303
3,26,3,165,0.151515151515152
3,26,3,215,0.0303030303030303
3,26,3,217,0.0303030303030303
3,34,3,60,0.0833333333333333
3,34,3,92,0.277777777777778
3,34,3,130,0.0277777777777778
3,34,3,163,0.111111111111111
3,34,3,165,0.0833333333333333
3,34,3,211,0.0277777777777778
3,34,3,270,0.0277777777777778
3,35,3,76,0.0344827586206897
3,35,3,92,0.551724137931034
3,35,3,112,0.0172413793103448
3,35,3,170,0.0517241379310345
3,35,3,187,0.0517241379310345
4,1,4,199,0.00892857142857143
4,1,4,226,0.00892857142857143
4,1,4,241,0.00892857142857143
4,1,4,274,0.107142857142857
4,7,4,92,1
4,8,4,41,0.0441176470588235
4,8,4,92,0.617647058823529
4,8,4,218,0.0147058823529412
4,9,4,50,0.0099009900990099
4,9,4,87,0.0099009900990099
4,9,4,92,0.366336633663366
4,9,4,98,0.0099009900990099
4,9,4,130,0.0099009900990099
4,9,4,165,0.0099009900990099
4,9,4,266,0.099009900990099
4,9,4,274,0.0099009900990099
4,10,4,50,0.0169491525423729
4,10,4,60,0.0169491525423729
4,10,4,92,0.372881355932203
4,10,4,136,0.0338983050847458
4,10,4,173,0.0169491525423729
4,10,4,176,0.0169491525423729
4,10,4,213,0.0169491525423729
4,10,4,253,0.0169491525423729
4,10,4,274,0.0169491525423729
4,13,4,92,0.34375
4,13,4,217,0.0625
4,13,4,266,0.25
4,14,4,266,0.0588235294117647
4,14,4,274,0.0588235294117647
4,14,4,275,0.235294117647059
4,17,4,73,0.024390243902439
4,17,4,92,0.024390243902439
4,17,4,98,0.024390243902439
4,17,4,143,0.024390243902439
4,17,4,145,0.0487804878048781
4,17,4,165,0.024390243902439
4,17,4,266,0.0975609756097561
4,17,4,284,0.0731707317073171
4,20,4,44,0.5
4,20,4,56,0.125
4,20,4,60,0.0625
4,20,4,92,0.0625
4,20,4,165,0.0625
4,20,4,249,0.0625
4,20,4,252,0.0625
4,20,4,266,0.0625
4,23,4,92,0.333333333333333
4,26,4,55,0.166666666666667
4,26,4,92,0.5
4,26,4,266,0.166666666666667
4,31,4,62,0.0121212121212121
4,31,4,92,0.357575757575758
4,31,4,111,0.00606060606060606
4,31,4,165,0.00606060606060606
4,31,4,170,0.0181818181818182
4,31,4,187,0.00606060606060606
4,31,4,212,0.0121212121212121
4,31,4,235,0.0181818181818182
4,31,4,238,0.0545454545454545
4,31,4,253,0.00606060606060606
4,34,4,60,0.166666666666667
4,34,4,92,0.666666666666667
4,34,4,266,0.166666666666667
4,37,4,165,0.125
4,37,4,266,0.125
4,37,4,274,0.375
4,38,4,92,0.0526315789473684
4,38,4,165,0.0175438596491228
4,38,4,192,0.192982456140351
4,38,4,217,0.0350877192982456
4,38,4,226,0.0175438596491228
4,38,4,266,0.0526315789473684
4,1,4,50,0.00892857142857143
4,1,4,73,0.0178571428571429
4,1,4,135,0.00892857142857143
4,1,4,157,0.00892857142857143
4,1,4,163,0.00892857142857143
4,1,4,192,0.0267857142857143
4,1,4,199,0.00892857142857143
4,1,4,204,0.0178571428571429
4,1,4,217,0.0267857142857143
4,1,4,227,0.0357142857142857
4,1,4,254,0.00892857142857143
4,1,4,266,0.00892857142857143
4,1,4,274,0.25
4,1,4,275,0.401785714285714
4,1,4,276,0.0178571428571429
4,1,4,280,0.00892857142857143
4,8,4,60,0.0147058823529412
4,8,4,92,0.264705882352941
4,8,4,111,0.0294117647058824
4,8,4,274,0.0147058823529412
4,9,4,41,0.0198019801980198
4,9,4,50,0.148514851485149
4,9,4,79,0.0099009900990099
4,9,4,92,0.108910891089109
4,9,4,167,0.0099009900990099
4,9,4,200,0.0198019801980198
4,9,4,217,0.0198019801980198
4,9,4,247,0.0099009900990099
4,9,4,274,0.128712871287129
4,10,4,50,0.0338983050847458
4,10,4,60,0.0677966101694915
4,10,4,64,0.0169491525423729
4,10,4,84,0.0169491525423729
4,10,4,92,0.0677966101694915
4,10,4,101,0.0169491525423729
4,10,4,136,0.0169491525423729
4,10,4,137,0.0169491525423729
4,10,4,170,0.0338983050847458
4,10,4,186,0.0169491525423729
